"","Metric","Score"
"1","accuracy",0.957894736842105
"2","error_rate",0.0421052631578948
"3","precision",0.938775510204082
"4","recall",0.938775510204082
"5","specificity",0.967914438502674
"6","balacc",0.953344974353378
"7","fscore",0.938775510204082
"8","agf",0.953233639166833
"9","gmean",0.953233639166833
"10","khat",0.906689948706755
"11","mcc",0.906689948706755
"12","fmi",0.938775510204082
"13","bmi",0.906689948706755
"14","csi",0.329749103942652
"15","deltap",0.906689948706755
"16","posLr",29.2585034013605
"17","negLr",0.0632540308941256
"18","dor",462.555555555556
"19","npv",0.967914438502674
"20","FPR",0.0320855614973262
"21","FNR",0.0612244897959183
"22","FDR",0.0612244897959183
"23","FOR",0.0320855614973262
"24","preval",0.343859649122807
"25","preval_t",0.503820840128484
"26","AUC_roc",0.418498168498169
"27","p4",0.953122316982428
